Position,Const,Created,Modified,Description,Name,Known For,Birth Date
39,nm0005132,2013-11-09,2013-11-09,,"Heath Ledger","Brokeback Mountain","April 4, 1979"
40,nm0004266,2013-11-09,2013-11-09,,"Anne Hathaway","Les Misérables","November 12, 1982"
41,nm0004695,2013-11-09,2013-11-09,,"Jessica Alba","Fantastic Four","April 28, 1981"
42,nm0001570,2013-11-09,2013-11-09,,"Edward Norton","Fight Club","August 18, 1969"
43,nm0461136,2013-11-09,2013-11-09,,"Keira Knightley","Pirates of the Caribbean: The Curse of the Black Pearl","March 26, 1985"
44,nm0177896,2013-11-09,2013-11-09,,"Bradley Cooper","A Star Is Born","January 5, 1975"
45,nm0002071,2013-11-09,2013-11-09,,"Will Ferrell","Talladega Nights: The Ballad of Ricky Bobby","July 16, 1967"
46,nm0000210,2013-11-09,2013-11-09,,"Julia Roberts","Pretty Woman","October 28, 1967"
47,nm0000115,2013-11-09,2013-11-09,,"Nicolas Cage","Face/Off","January 7, 1964"
48,nm0185819,2013-11-09,2013-11-09,,"Daniel Craig","Casino Royale","March 2, 1968"
49,nm0000206,2013-11-09,2013-11-09,,"Keanu Reeves","The Matrix","September 2, 1964"
50,nm0005212,2013-11-09,2013-11-09,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","May 25, 1939"
51,nm0000932,2013-11-09,2013-11-09,,"Halle Berry","Catwoman","August 14, 1966"
52,nm0000246,2013-11-09,2013-11-09,,"Bruce Willis","Die Hard","March 19, 1955"
53,nm0000168,2013-11-09,2013-11-09,,"Samuel L. Jackson","Pulp Fiction","December 21, 1948"
54,nm0001774,2013-11-09,2013-11-09,,"Ben Stiller","Tropic Thunder","November 30, 1965"
55,nm0000169,2013-11-09,2013-11-09,,"Tommy Lee Jones","The Fugitive","September 15, 1946"
56,nm0000104,2013-11-09,2013-11-09,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
57,nm0000243,2013-11-09,2013-11-09,,"Denzel Washington","Fences","December 28, 1954"
58,nm0136797,2013-11-09,2013-11-09,,"Steve Carell","The Office","August 16, 1962"
59,nm0479471,2013-11-09,2013-11-09,,"Shia LaBeouf","Honey Boy","June 11, 1986"
60,nm1083271,2013-11-09,2013-11-09,,"Megan Fox","Transformers","May 16, 1986"
61,nm0290556,2013-11-09,2013-11-09,,"James Franco","Spring Breakers","April 19, 1978"
62,nm0000154,2013-11-09,2013-11-09,,"Mel Gibson","Braveheart","January 3, 1956"
63,nm0004874,2013-11-09,2013-11-09,,"Vin Diesel","Guardians of the Galaxy","July 18, 1967"
64,nm0000741,2013-11-09,2013-11-09,,"Tim Allen","Toy Story","June 13, 1953"
65,nm0000245,2013-11-09,2013-11-09,,"Robin Williams","Mrs. Doubtfire","July 21, 1951"
66,nm0000228,2013-11-09,2013-11-09,,"Kevin Spacey","L.A. Confidential","July 26, 1959"
67,nm0004755,2013-11-09,2013-11-09,,"Jason Biggs","American Pie","May 12, 1978"
68,nm0005405,2013-11-09,2013-11-09,,"Seann William Scott","American Pie","October 3, 1976"
69,nm0000241,2013-11-09,2013-11-09,,"Jean-Claude Van Damme","Double Impact","October 18, 1960"
70,nm0302108,2013-11-09,2013-11-09,,"Zach Galifianakis","The Hangover","October 1, 1969"
71,nm0005562,2013-11-09,2013-11-09,,"Owen Wilson","The Royal Tenenbaums","November 18, 1968"
72,nm0000288,2013-11-09,2013-11-09,,"Christian Bale","The Dark Knight","January 30, 1974"
73,nm0001392,2013-11-09,2013-11-09,,"Peter Jackson","The Lord of the Rings: The Fellowship of the Ring","October 31, 1961"
74,nm0000113,2013-11-09,2013-11-09,,"Sandra Bullock","The Proposal","July 26, 1964"
75,nm0000045,2013-11-09,2013-11-09,,"Bruce Lee","Jing wu men","November 27, 1940"
76,nm0000106,2013-11-09,2013-11-09,,"Drew Barrymore","Charlie's Angels","February 22, 1975"
77,nm0000346,2013-11-09,2013-11-09,,"Macaulay Culkin","Home Alone","August 26, 1980"
78,nm0000197,2013-11-09,2013-11-09,,"Jack Nicholson","Chinatown","April 22, 1937"
79,nm0000195,2013-11-09,2013-11-09,,"Bill Murray","Lost in Translation","September 21, 1950"
80,nm0000244,2013-11-09,2013-11-09,,"Sigourney Weaver","Alien Resurrection","October 8, 1949"
81,nm0350453,2013-11-09,2013-11-09,,"Jake Gyllenhaal","Nightcrawler","December 19, 1980"
82,nm0005458,2013-11-09,2013-11-09,,"Jason Statham","Crank","July 26, 1967"
83,nm0001472,2013-11-09,2013-11-09,,"Jet Li","Huo Yuan Jia","April 26, 1963"
84,nm0000295,2013-11-09,2013-11-09,,"Kate Beckinsale","Underworld: Evolution","July 26, 1973"
85,nm0000100,2013-11-09,2013-11-09,,"Rowan Atkinson","Johnny English","January 6, 1955"
86,nm0000008,2013-11-09,2013-11-09,,"Marlon Brando","Apocalypse Now","April 3, 1924"
87,nm0000237,2013-11-09,2013-11-09,,"John Travolta","Pulp Fiction","February 18, 1954"
88,nm1475594,2013-11-09,2013-11-09,,"Channing Tatum","21 Jump Street","April 26, 1980"
89,nm0000255,2013-11-09,2013-11-09,,"Ben Affleck","Argo","August 15, 1972"
90,nm0451321,2013-11-09,2013-11-09,,"Shah Rukh Khan","Don 2","November 2, 1965"
91,nm0000098,2013-11-09,2013-11-09,,"Jennifer Aniston","Friends","February 11, 1969"
92,nm1297015,2014-09-18,2014-09-18,,"Emma Stone","La La Land","November 6, 1988"
93,nm1165110,2013-11-09,2013-11-09,,"Chris Hemsworth","Snow White and the Huntsman","August 11, 1983"
94,nm0564215,2013-11-09,2013-11-09,,"James McAvoy","Filth","April 21, 1979"
95,nm0000116,2013-11-09,2013-11-09,,"James Cameron","Avatar: The Way of Water","August 16, 1954"
96,nm0000821,2013-11-09,2013-11-09,,"Amitabh Bachchan","Black","October 11, 1942"
97,nm0000409,2013-11-09,2013-11-09,,"Brendan Fraser","The Mummy","December 3, 1968"
98,nm1046097,2013-11-09,2013-11-09,,"Rachel McAdams","The Notebook","November 17, 1978"
99,nm1089991,2013-11-09,2013-11-09,,"Tom Hiddleston","The Avengers","February 9, 1981"
100,nm0451148,2013-11-09,2013-11-09,,"Aamir Khan","Taare Zameen Par","March 14, 1965"
